City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-6.71,84,25,5.34,GS,1688858853
1,waitangi,-43.9535,-176.5597,12.12,80,50,1.79,NZ,1688858854
2,avarua,-21.2078,-159.775,27.03,78,75,7.72,CK,1688858854
3,kristiansund,63.1115,7.732,15.03,88,75,1.54,NO,1688858855
4,bikenibeu village,1.3673,173.1241,27.98,89,100,3.09,KI,1688858856
5,yellowknife,62.456,-114.3525,26.29,36,40,5.66,CA,1688858856
6,albany,42.6001,-73.9662,27.24,80,94,0.87,US,1688858839
7,port-aux-francais,-49.35,70.2167,1.02,78,98,5.49,TF,1688858857
8,adamstown,-25.066,-130.1015,22.05,77,76,6.42,PN,1688858858
9,hawaiian paradise park,19.5933,-154.9731,24.46,94,100,3.6,US,1688858858
10,akureyri,65.6835,-18.0878,11.96,71,20,1.03,IS,1688858859
11,stepnogorsk,52.3544,71.8869,16.75,64,22,3.19,KZ,1688858859
12,callao,-12.0667,-77.15,23.18,73,20,7.72,PE,1688858809
13,ushuaia,-54.8,-68.3,3.81,70,40,8.75,AR,1688858627
14,college,64.8569,-147.8028,18.66,55,75,6.17,US,1688858861
15,yazoo city,32.8551,-90.4056,33.39,53,26,2.6,US,1688858824
16,longyearbyen,78.2186,15.6401,7.91,81,75,0.51,SJ,1688858862
17,tucurui,-3.7661,-49.6725,26.14,72,87,0.56,BR,1688858863
18,crane,31.3974,-102.3501,36.11,27,6,8.83,US,1688858864
19,flowood,32.3096,-90.139,34.12,58,20,4.63,US,1688858692
20,hammerfest,70.6634,23.6821,8.25,76,48,2.06,NO,1688858650
21,badger,64.8,-147.5333,18.62,51,75,6.17,US,1688858865
22,bredasdorp,-34.5322,20.0403,7.41,87,62,4.7,ZA,1688858867
23,kodiak,57.79,-152.4072,13.73,62,75,5.66,US,1688858867
24,olonkinbyen,70.9221,-8.7187,5.84,98,100,9.11,SJ,1688858868
25,morden,49.1919,-98.1014,25.05,43,70,4.63,CA,1688858868
26,geraldton,-28.7667,114.6,8.23,93,0,3.09,AU,1688858869
27,puerto natales,-51.7236,-72.4875,-2.76,90,6,1.23,CL,1688858593
28,covington,39.0837,-84.5086,25.81,80,75,1.54,US,1688858870
29,nongpoh,25.9,91.8833,23.76,96,99,1.18,IN,1688858871
30,lavrio,37.7145,24.0565,28.24,67,0,2.1,GR,1688858871
31,puerto ayora,-0.7393,-90.3518,25.86,90,31,3.58,EC,1688858872
32,enewetak,11.3474,162.3373,28.25,81,97,6.58,MH,1688858872
33,fort bragg,35.139,-79.006,27.12,74,40,4.12,US,1688858873
34,mogadishu,2.0371,45.3438,25.16,82,31,8.49,SO,1688858873
35,sangmelima,2.9333,11.9833,19.27,100,99,0.84,CM,1688858874
36,jamestown,42.097,-79.2353,23.8,68,20,1.54,US,1688858701
37,franklin,39.9667,-83.0166,26.18,74,75,3.09,US,1688858378
38,georgetown,5.4112,100.3354,26.12,92,40,1.54,MY,1688858651
39,kralendijk,12.15,-68.2667,28.99,79,20,8.23,BQ,1688858876
40,san antonio oeste,-40.7319,-64.9477,10.83,62,79,2.44,AR,1688858103
41,pisco,-13.7,-76.2167,21.03,73,0,6.69,PE,1688858877
42,arno,60.1167,18.6333,15.44,82,54,2.05,SE,1688858877
